character,freq,novel
Rando Thoughtful,4,TheDarkTower
Ted Brautigans,4,TheDarkTower
Ho Fat III,4,TheDarkTower
Dave Ittaway,3,TheDarkTower
Walter Padick,3,TheDarkTower
Gabrielle Deschain,3,TheDarkTower
Ho Fat,3,TheDarkTower
Daddy Mose,3,TheDarkTower
Algul Sientos,3,TheDarkTower
Hile Roland,3,TheDarkTower
Ed Deepneau,3,TheDarkTower
aven kal,3,TheDarkTower
Eddie Eddie,3,TheDarkTower
Jamie DeCurry,3,TheDarkTower
Queen Anne,3,TheDarkTower
sai Carver,3,TheDarkTower
Patrick Roland,3,TheDarkTower
Robert Browning,3,TheDarkTower
Hush Roland,3,TheDarkTower
Dr Sam,3,TheDarkTower
Ted Stevens Brautigan,3,TheDarkTower
Chip McAvoy,3,TheDarkTower
Clint Eastwood,3,TheDarkTower
Irene Tassenbaums,3,TheDarkTower
sai Finli,3,TheDarkTower
Christa McAuliffe,3,TheDarkTower
Calvin Tower,3,TheDarkTower
Benny Slightman,3,TheDarkTower
Roland Roland,3,TheDarkTower
Joe Collinss,3,TheDarkTower
David Brinkley,3,TheDarkTower
Yeah Dinky,2,TheDarkTower
sai Prentiss,2,TheDarkTower
Frank Armitage,2,TheDarkTower
Sai Brautigan,2,TheDarkTower
Cameron Pimli,2,TheDarkTower
Thunderclap Roland,2,TheDarkTower
VesKa Gan,2,TheDarkTower
Jake Susannah,2,TheDarkTower
Badmouth King,2,TheDarkTower
Gilead Roland,2,TheDarkTower
Susannah Jake,2,TheDarkTower
St Elmos,2,TheDarkTower
Elvira Toothaker,2,TheDarkTower
Alain Johns,2,TheDarkTower
Yeah Jake,2,TheDarkTower
Patrick Danvilles,2,TheDarkTower
Randall Flagg,2,TheDarkTower
Jake Can,2,TheDarkTower
Goodmouth King,2,TheDarkTower
Joe Roland,2,TheDarkTower
Dandelo Roland,2,TheDarkTower
nt Eddie,2,TheDarkTower
Daneeka Rostov,2,TheDarkTower
Roland Susannah,2,TheDarkTower
the Young Man,2,TheDarkTower
John Kennedy,2,TheDarkTower
Susannah Suze,2,TheDarkTower
Don Pardo,2,TheDarkTower
Marian Carvers,2,TheDarkTower
Wendell Chip McAvoy,2,TheDarkTower
Finli Finli OTego,2,TheDarkTower
Ake Oy,2,TheDarkTower
John Eddie,2,TheDarkTower
Cesar Romeros,2,TheDarkTower
Grace Rumbelow,2,TheDarkTower
Fucking Brautigan,2,TheDarkTower
Steven Deschains,2,TheDarkTower
Ves Ka Gan,2,TheDarkTower
Bobby Garfield,2,TheDarkTower
Eldred Jonas,2,TheDarkTower
Rudin Filaro,2,TheDarkTower
Uncle Tim,2,TheDarkTower
Jerusalems Lot,2,TheDarkTower
the Stephen King,2,TheDarkTower
Jake Eddie,2,TheDarkTower
Will Dearborn,2,TheDarkTower
Rando Thoughtfuls,2,TheDarkTower
Ted Brautigan Dinky Earnshaw,2,TheDarkTower
Stanley Sheemie,2,TheDarkTower
sai Earnshaw,2,TheDarkTower
RI Harrigan,2,TheDarkTower
Roland Jake,2,TheDarkTower
Red King,2,TheDarkTower
Sheemie Aye,2,TheDarkTower
Dino Martino Eddie,2,TheDarkTower
Roland Ted,2,TheDarkTower
Mist Dean,2,TheDarkTower
sai Sayres,2,TheDarkTower
Theodore Brautigan,2,TheDarkTower
Referee King,2,TheDarkTower
Chef Warthogs,2,TheDarkTower
John Roland,2,TheDarkTower
Mia Tweety,1,TheDarkTower
Sai Earnshaw,1,TheDarkTower
Roland Davids,1,TheDarkTower
Ted Teds,1,TheDarkTower
Whoa Eddie,1,TheDarkTower
Carol Gerberwill,1,TheDarkTower
Aaron Stephen King,1,TheDarkTower
Chip McAvoys,1,TheDarkTower
McCann Trampas,1,TheDarkTower
aong Turtleback Lane,1,TheDarkTower
Nigel The brown,1,TheDarkTower
sai Prentisss view,1,TheDarkTower
Jake watches,1,TheDarkTower
Young Man,1,TheDarkTower
Sleep Ill,1,TheDarkTower
ULTEEEEEEEE HA,1,TheDarkTower
Nixon Lodge Kennedy,1,TheDarkTower
Tower Roland,1,TheDarkTower
Nigel Madam,1,TheDarkTower
Sheena Queen,1,TheDarkTower
Niagara Falls,1,TheDarkTower
Ted Bundy,1,TheDarkTower
Hot Jake,1,TheDarkTower
Turdeback Lane,1,TheDarkTower
Patrick Looking,1,TheDarkTower
Emily Dickinson,1,TheDarkTower
yold clapcunt gammergurt,1,TheDarkTower
dan sur dan tur dan Roland dan Gilead,1,TheDarkTower
Daisy Mae,1,TheDarkTower
Doc Sam,1,TheDarkTower
Lady Blackbird,1,TheDarkTower
Eddies Eddie,1,TheDarkTower
Yeah Eddie,1,TheDarkTower
Dandelo Jake,1,TheDarkTower
ahungry Destiny,1,TheDarkTower
I Ake,1,TheDarkTower
Dani Rostovs,1,TheDarkTower
Dave Garroway,1,TheDarkTower
IDRINK NOZZALA Jake,1,TheDarkTower
Lee Brown Coye sickle,1,TheDarkTower
Thankeesai Jake,1,TheDarkTower
Susannah Strong,1,TheDarkTower
Oy Husk,1,TheDarkTower
Jake Chambers Eddie,1,TheDarkTower
sai Haylis,1,TheDarkTower
Thankeesai Sheemie,1,TheDarkTower
Richard Penniman Clubcrawling,1,TheDarkTower
Sheemie Look Roland,1,TheDarkTower
Uncle Sam,1,TheDarkTower
Watership Down He,1,TheDarkTower
To Susannah Eddie and,1,TheDarkTower
George Lucass CP,1,TheDarkTower
The Susannah Dean,1,TheDarkTower
Walter Hodji,1,TheDarkTower
sai bothcut,1,TheDarkTower
ken Flaherty,1,TheDarkTower
Oy Roland,1,TheDarkTower
Gary Barker,1,TheDarkTower
ken Los,1,TheDarkTower
Roland Deschains,1,TheDarkTower
Gangsta Dream,1,TheDarkTower
Bill Clinton,1,TheDarkTower
Fred Astaire Oy,1,TheDarkTower
Stuhhuttering BBill I,1,TheDarkTower
Ye Child of Roderick ye,1,TheDarkTower
Ray Bradbury,1,TheDarkTower
Ho Fats Luxury Taxi,1,TheDarkTower
Pimli Finli,1,TheDarkTower
Odetta Holmess,1,TheDarkTower
Roland Marian Carver,1,TheDarkTower
Jake While Jake,1,TheDarkTower
foine bucko,1,TheDarkTower
Frank McGee,1,TheDarkTower
Gary Hart,1,TheDarkTower
Ted A,1,TheDarkTower
Ted Dinky Dani,1,TheDarkTower
Eld Somebody,1,TheDarkTower
Howard Hughes,1,TheDarkTower
Mose Carver,1,TheDarkTower
Jose Ill,1,TheDarkTower
sai Collinss,1,TheDarkTower
goodoleboy katet,1,TheDarkTower
sai Cornwell,1,TheDarkTower
Whena da moon,1,TheDarkTower
Kahumes Callahan,1,TheDarkTower
John Cullums Ford Galaxie,1,TheDarkTower
kiddo Dinky,1,TheDarkTower
Jack Mort,1,TheDarkTower
Fred Worthingtondo,1,TheDarkTower
James Joyce,1,TheDarkTower
William Hope Hodgson borderlands,1,TheDarkTower
Vermong Mont Eddie,1,TheDarkTower
Ted Bring,1,TheDarkTower
latelyif fortyseven,1,TheDarkTower
Odetta Holmesmissing,1,TheDarkTower
Imagination Flaherty,1,TheDarkTower
Kashume Mordred,1,TheDarkTower
Donald Callahan,1,TheDarkTower
Martin Luther King,1,TheDarkTower
humes Roland,1,TheDarkTower
Finli Nar nar,1,TheDarkTower
Rolandof Steven,1,TheDarkTower
Mordred Rolands,1,TheDarkTower
Patek Philippe,1,TheDarkTower
likeand Roland,1,TheDarkTower
Chuck Verrill,1,TheDarkTower
Lam Flaherty,1,TheDarkTower
aintcha Aye,1,TheDarkTower
Finli the Weasel,1,TheDarkTower
tdo dat Ahd,1,TheDarkTower
Man Jake,1,TheDarkTower
Phil My,1,TheDarkTower
Paul Pimli Prentiss,1,TheDarkTower
sai Tassenbaum,1,TheDarkTower
John John Kennedy,1,TheDarkTower
Astin Ill,1,TheDarkTower
Dr Scowther,1,TheDarkTower
bucks Eddie,1,TheDarkTower
Greg Eddie,1,TheDarkTower
Nar nar,1,TheDarkTower
Beeman Hile,1,TheDarkTower
Eddie Sheemie Aye Roland,1,TheDarkTower
Yuh Cullum,1,TheDarkTower
nights Eddie,1,TheDarkTower
David Seymour Tassenbaums,1,TheDarkTower
yon mindtrap,1,TheDarkTower
Mordred Roland,1,TheDarkTower
Roland Basted,1,TheDarkTower
Green Wit Eddie,1,TheDarkTower
Jakes deathsong,1,TheDarkTower
Teddy B,1,TheDarkTower
Rosalita Munoz,1,TheDarkTower
menCarver Cullum,1,TheDarkTower
Humma OTego,1,TheDarkTower
Hush Roland Susannah,1,TheDarkTower
Loss exMinister,1,TheDarkTower
Dandelos glammer,1,TheDarkTower
Uncle Sams,1,TheDarkTower
Pere Donald Callahan,1,TheDarkTower
Aaron Deepneau Keep,1,TheDarkTower
ave Eddie,1,TheDarkTower
